Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes,,,,win team,lose team,Wloc
Fri Nov 18 2016,7:30 PM,Detroit Pistons,81,Cleveland Cavaliers,104,Box Score,,20562,,,-23,,Cleveland Cavaliers,Detroit Pistons,H
Fri Nov 18 2016,8:30 PM,Memphis Grizzlies,80,Dallas Mavericks,64,Box Score,,19715,,,16,,Memphis Grizzlies,Dallas Mavericks,V
Fri Nov 18 2016,9:00 PM,Toronto Raptors,113,Denver Nuggets,111,Box Score,OT,12476,,,2,,Toronto Raptors,Denver Nuggets,V
Fri Nov 18 2016,7:00 PM,Phoenix Suns,116,Indiana Pacers,96,Box Score,,16780,,,20,,Phoenix Suns,Indiana Pacers,V
Fri Nov 18 2016,10:30 PM,San Antonio Spurs,116,Los Angeles Lakers,107,Box Score,,18997,,,9,,San Antonio Spurs,Los Angeles Lakers,V
Fri Nov 18 2016,8:00 PM,Portland Trail Blazers,101,New Orleans Pelicans,113,Box Score,,15552,,,-12,,New Orleans Pelicans,Portland Trail Blazers,H
Fri Nov 18 2016,8:00 PM,Brooklyn Nets,105,Oklahoma City Thunder,124,Box Score,,18203,,,-19,,Oklahoma City Thunder,Brooklyn Nets,H
Fri Nov 18 2016,10:30 PM,Los Angeles Clippers,121,Sacramento Kings,115,Box Score,,17608,,,6,,Los Angeles Clippers,Sacramento Kings,V
Sat Nov 19 2016,7:00 PM,Boston Celtics,94,Detroit Pistons,92,Box Score,,16107,,,2,,Boston Celtics,Detroit Pistons,V
Sat Nov 19 2016,5:00 PM,Utah Jazz,102,Houston Rockets,111,Box Score,,14760,,,-9,,Houston Rockets,Utah Jazz,H
Sat Nov 19 2016,10:30 PM,Chicago Bulls,95,Los Angeles Clippers,102,Box Score,,19060,,,-7,,Los Angeles Clippers,Chicago Bulls,H
Sat Nov 19 2016,8:00 PM,Minnesota Timberwolves,71,Memphis Grizzlies,93,Box Score,,17112,,,-22,,Memphis Grizzlies,Minnesota Timberwolves,H
Sat Nov 19 2016,8:30 PM,Golden State Warriors,124,Milwaukee Bucks,121,Box Score,,18717,,,3,,Golden State Warriors,Milwaukee Bucks,V
Sat Nov 19 2016,7:00 PM,Charlotte Hornets,116,New Orleans Pelicans,121,Box Score,OT,15739,,,-5,,New Orleans Pelicans,Charlotte Hornets,H
Sat Nov 19 2016,7:00 PM,Dallas Mavericks,87,Orlando Magic,95,Box Score,,18846,,,-8,,Orlando Magic,Dallas Mavericks,H
Sat Nov 19 2016,7:30 PM,Phoenix Suns,105,Philadelphia 76ers,120,Box Score,,18125,,,-15,,Philadelphia 76ers,Phoenix Suns,H
Sat Nov 19 2016,7:00 PM,Miami Heat,114,Washington Wizards,111,Box Score,,15848,,,3,,Miami Heat,Washington Wizards,V
Sun Nov 20 2016,3:30 PM,Portland Trail Blazers,129,Brooklyn Nets,109,Box Score,,16608,,,20,,Portland Trail Blazers,Brooklyn Nets,V
Sun Nov 20 2016,9:00 PM,Utah Jazz,91,Denver Nuggets,105,Box Score,,12565,,,-14,,Denver Nuggets,Utah Jazz,H
Sun Nov 20 2016,9:30 PM,Chicago Bulls,118,Los Angeles Lakers,110,Box Score,,18997,,,8,,Chicago Bulls,Los Angeles Lakers,V
Sun Nov 20 2016,12:00 PM,Atlanta Hawks,94,New York Knicks,104,Box Score,,19812,,,-10,,New York Knicks,Atlanta Hawks,H
Sun Nov 20 2016,7:00 PM,Indiana Pacers,115,Oklahoma City Thunder,111,Box Score,OT,18203,,,4,,Indiana Pacers,Oklahoma City Thunder,V
Sun Nov 20 2016,9:00 PM,Toronto Raptors,99,Sacramento Kings,102,Box Score,,17608,,,-3,,Sacramento Kings,Toronto Raptors,H
Mon Nov 21 2016,7:00 PM,Memphis Grizzlies,105,Charlotte Hornets,90,Box Score,,14181,,,15,,Memphis Grizzlies,Charlotte Hornets,V
Mon Nov 21 2016,7:30 PM,Houston Rockets,99,Detroit Pistons,96,Box Score,,13632,,,3,,Houston Rockets,Detroit Pistons,V
Mon Nov 21 2016,7:00 PM,Golden State Warriors,120,Indiana Pacers,83,Box Score,,17923,,,37,,Golden State Warriors,Indiana Pacers,V
Mon Nov 21 2016,10:30 PM,Toronto Raptors,115,Los Angeles Clippers,123,Box Score,,19060,,,-8,,Los Angeles Clippers,Toronto Raptors,H
Mon Nov 21 2016,8:00 PM,Orlando Magic,89,Milwaukee Bucks,93,Box Score,,12306,,,-4,,Milwaukee Bucks,Orlando Magic,H
Mon Nov 21 2016,8:00 PM,Boston Celtics,99,Minnesota Timberwolves,93,Box Score,,13167,,,6,,Boston Celtics,Minnesota Timberwolves,V
Mon Nov 21 2016,7:00 PM,Miami Heat,94,Philadelphia 76ers,101,Box Score,,16477,,,-7,,Philadelphia 76ers,Miami Heat,H
Mon Nov 21 2016,8:30 PM,Dallas Mavericks,91,San Antonio Spurs,96,Box Score,,18418,,,-5,,San Antonio Spurs,Dallas Mavericks,H
Mon Nov 21 2016,7:00 PM,Phoenix Suns,101,Washington Wizards,106,Box Score,,12790,,,-5,,Washington Wizards,Phoenix Suns,H
Tue Nov 22 2016,7:30 PM,New Orleans Pelicans,112,Atlanta Hawks,94,Box Score,,19120,,,18,,New Orleans Pelicans,Atlanta Hawks,V
Tue Nov 22 2016,9:00 PM,Chicago Bulls,107,Denver Nuggets,110,Box Score,,14328,,,-3,,Denver Nuggets,Chicago Bulls,H
Tue Nov 22 2016,10:30 PM,Oklahoma City Thunder,109,Los Angeles Lakers,111,Box Score,,18997,,,-2,,Los Angeles Lakers,Oklahoma City Thunder,H
Tue Nov 22 2016,7:30 PM,Portland Trail Blazers,103,New York Knicks,107,Box Score,,19812,,,-4,,New York Knicks,Portland Trail Blazers,H
Wed Nov 23 2016,7:30 PM,Boston Celtics,111,Brooklyn Nets,92,Box Score,,16210,,,19,,Boston Celtics,Brooklyn Nets,V
Wed Nov 23 2016,7:00 PM,San Antonio Spurs,119,Charlotte Hornets,114,Box Score,,18515,,,5,,San Antonio Spurs,Charlotte Hornets,V
Wed Nov 23 2016,7:00 PM,Portland Trail Blazers,125,Cleveland Cavaliers,137,Box Score,,20562,,,-12,,Cleveland Cavaliers,Portland Trail Blazers,H
Wed Nov 23 2016,8:30 PM,Los Angeles Clippers,124,Dallas Mavericks,104,Box Score,,20042,,,20,,Los Angeles Clippers,Dallas Mavericks,V
Wed Nov 23 2016,7:30 PM,Miami Heat,84,Detroit Pistons,107,Box Score,,14520,,,-23,,Detroit Pistons,Miami Heat,H
Wed Nov 23 2016,10:30 PM,Los Angeles Lakers,106,Golden State Warriors,149,Box Score,,19596,,,-43,,Golden State Warriors,Los Angeles Lakers,H
Wed Nov 23 2016,8:00 PM,Toronto Raptors,115,Houston Rockets,102,Box Score,,18055,,,13,,Toronto Raptors,Houston Rockets,V
Wed Nov 23 2016,7:00 PM,Atlanta Hawks,96,Indiana Pacers,85,Box Score,,16032,,,11,,Atlanta Hawks,Indiana Pacers,V
Wed Nov 23 2016,9:30 PM,Minnesota Timberwolves,96,New Orleans Pelicans,117,Box Score,,15555,,,-21,,New Orleans Pelicans,Minnesota Timberwolves,H
Wed Nov 23 2016,7:00 PM,Phoenix Suns,92,Orlando Magic,87,Box Score,,17069,,,5,,Phoenix Suns,Orlando Magic,V
Wed Nov 23 2016,7:00 PM,Memphis Grizzlies,104,Philadelphia 76ers,99,Box Score,2OT,15880,,,5,,Memphis Grizzlies,Philadelphia 76ers,V
Wed Nov 23 2016,10:30 PM,Oklahoma City Thunder,101,Sacramento Kings,116,Box Score,,17608,,,-15,,Sacramento Kings,Oklahoma City Thunder,H
Wed Nov 23 2016,9:00 PM,Denver Nuggets,83,Utah Jazz,108,Box Score,,19229,,,-25,,Utah Jazz,Denver Nuggets,H
Fri Nov 25 2016,1:00 PM,San Antonio Spurs,109,Boston Celtics,103,Box Score,,18624,,,6,,San Antonio Spurs,Boston Celtics,V
Fri Nov 25 2016,7:30 PM,Dallas Mavericks,90,Cleveland Cavaliers,128,Box Score,,20562,,,-38,,Cleveland Cavaliers,Dallas Mavericks,H
Fri Nov 25 2016,9:00 PM,Oklahoma City Thunder,132,Denver Nuggets,129,Box Score,OT,14327,,,3,,Oklahoma City Thunder,Denver Nuggets,V
Fri Nov 25 2016,7:30 PM,Los Angeles Clippers,97,Detroit Pistons,108,Box Score,,17023,,,-11,,Detroit Pistons,Los Angeles Clippers,H
Fri Nov 25 2016,8:00 PM,Brooklyn Nets,97,Indiana Pacers,118,Box Score,,16083,,,-21,,Indiana Pacers,Brooklyn Nets,H
Fri Nov 25 2016,10:30 PM,Golden State Warriors,109,Los Angeles Lakers,85,Box Score,,18997,,,24,,Golden State Warriors,Los Angeles Lakers,V
Fri Nov 25 2016,8:00 PM,Miami Heat,90,Memphis Grizzlies,81,Box Score,,17222,,,9,,Miami Heat,Memphis Grizzlies,V
Fri Nov 25 2016,8:00 PM,Toronto Raptors,105,Milwaukee Bucks,99,Box Score,,16223,,,6,,Toronto Raptors,Milwaukee Bucks,V
Fri Nov 25 2016,7:30 PM,Charlotte Hornets,111,New York Knicks,113,Box Score,OT,19812,,,-2,,New York Knicks,Charlotte Hornets,H
Fri Nov 25 2016,7:00 PM,Washington Wizards,94,Orlando Magic,91,Box Score,,17103,,,3,,Washington Wizards,Orlando Magic,V
Fri Nov 25 2016,7:30 PM,Chicago Bulls,105,Philadelphia 76ers,89,Box Score,,18234,,,16,,Chicago Bulls,Philadelphia 76ers,V
Fri Nov 25 2016,9:00 PM,Minnesota Timberwolves,98,Phoenix Suns,85,Box Score,,16728,,,13,,Minnesota Timberwolves,Phoenix Suns,V
Fri Nov 25 2016,10:00 PM,New Orleans Pelicans,104,Portland Trail Blazers,119,Box Score,,19393,,,-15,,Portland Trail Blazers,New Orleans Pelicans,H
Fri Nov 25 2016,10:30 PM,Houston Rockets,117,Sacramento Kings,104,Box Score,,17608,,,13,,Houston Rockets,Sacramento Kings,V
Fri Nov 25 2016,8:00 PM,Atlanta Hawks,68,Utah Jazz,95,Box Score,,19911,,,-27,,Utah Jazz,Atlanta Hawks,H
Sat Nov 26 2016,7:00 PM,New York Knicks,102,Charlotte Hornets,107,Box Score,,19195,,,-5,,Charlotte Hornets,New York Knicks,H
Sat Nov 26 2016,10:30 PM,Minnesota Timberwolves,102,Golden State Warriors,115,Box Score,,19596,,,-13,,Golden State Warriors,Minnesota Timberwolves,H
Sat Nov 26 2016,8:00 PM,Memphis Grizzlies,110,Miami Heat,107,Box Score,,19600,,,3,,Memphis Grizzlies,Miami Heat,V
Sat Nov 26 2016,8:00 PM,Detroit Pistons,88,Oklahoma City Thunder,106,Box Score,,18203,,,-18,,Oklahoma City Thunder,Detroit Pistons,H
Sat Nov 26 2016,7:00 PM,San Antonio Spurs,112,Washington Wizards,100,Box Score,,17066,,,12,,San Antonio Spurs,Washington Wizards,V
Sun Nov 27 2016,6:00 PM,Sacramento Kings,122,Brooklyn Nets,105,Box Score,,13646,,,17,,Sacramento Kings,Brooklyn Nets,V
Sun Nov 27 2016,7:00 PM,New Orleans Pelicans,81,Dallas Mavericks,91,Box Score,,19302,,,-10,,Dallas Mavericks,New Orleans Pelicans,H
Sun Nov 27 2016,6:00 PM,Los Angeles Clippers,70,Indiana Pacers,91,Box Score,,15572,,,-21,,Indiana Pacers,Los Angeles Clippers,H
Sun Nov 27 2016,9:30 PM,Atlanta Hawks,94,Los Angeles Lakers,109,Box Score,,18997,,,-15,,Los Angeles Lakers,Atlanta Hawks,H
Sun Nov 27 2016,6:00 PM,Milwaukee Bucks,104,Orlando Magic,96,Box Score,,16521,,,8,,Milwaukee Bucks,Orlando Magic,V
Sun Nov 27 2016,1:00 PM,Cleveland Cavaliers,112,Philadelphia 76ers,108,Box Score,,19311,,,4,,Cleveland Cavaliers,Philadelphia 76ers,V
Sun Nov 27 2016,3:30 PM,Denver Nuggets,120,Phoenix Suns,114,Box Score,,15365,,,6,,Denver Nuggets,Phoenix Suns,V
Sun Nov 27 2016,9:00 PM,Houston Rockets,130,Portland Trail Blazers,114,Box Score,,19393,,,16,,Houston Rockets,Portland Trail Blazers,V
Mon Nov 28 2016,10:30 PM,Atlanta Hawks,100,Golden State Warriors,105,Box Score,,19596,,,-5,,Golden State Warriors,Atlanta Hawks,H
Mon Nov 28 2016,8:00 PM,Charlotte Hornets,104,Memphis Grizzlies,85,Box Score,,13143,,,19,,Charlotte Hornets,Memphis Grizzlies,V
Mon Nov 28 2016,7:30 PM,Boston Celtics,112,Miami Heat,104,Box Score,,19600,,,8,,Boston Celtics,Miami Heat,V
Mon Nov 28 2016,8:00 PM,Utah Jazz,112,Minnesota Timberwolves,103,Box Score,,9384,,,9,,Utah Jazz,Minnesota Timberwolves,V
Mon Nov 28 2016,7:30 PM,Oklahoma City Thunder,112,New York Knicks,103,Box Score,,19812,,,9,,Oklahoma City Thunder,New York Knicks,V
Mon Nov 28 2016,7:30 PM,Philadelphia 76ers,95,Toronto Raptors,122,Box Score,,19800,,,-27,,Toronto Raptors,Philadelphia 76ers,H
Mon Nov 28 2016,7:00 PM,Sacramento Kings,95,Washington Wizards,101,Box Score,OT,12571,,,-6,,Washington Wizards,Sacramento Kings,H
Tue Nov 29 2016,7:30 PM,Los Angeles Clippers,122,Brooklyn Nets,127,Box Score,2OT,15681,,,-5,,Brooklyn Nets,Los Angeles Clippers,H
Tue Nov 29 2016,7:00 PM,Detroit Pistons,112,Charlotte Hornets,89,Box Score,,14266,,,23,,Detroit Pistons,Charlotte Hornets,V
Tue Nov 29 2016,8:00 PM,Cleveland Cavaliers,101,Milwaukee Bucks,118,Box Score,,16559,,,-17,,Milwaukee Bucks,Cleveland Cavaliers,H
Tue Nov 29 2016,8:00 PM,Los Angeles Lakers,88,New Orleans Pelicans,105,Box Score,,14024,,,-17,,New Orleans Pelicans,Los Angeles Lakers,H
Tue Nov 29 2016,8:30 PM,Orlando Magic,95,San Antonio Spurs,83,Box Score,,18418,,,12,,Orlando Magic,San Antonio Spurs,V
Tue Nov 29 2016,9:00 PM,Houston Rockets,101,Utah Jazz,120,Box Score,,19911,,,-19,,Utah Jazz,Houston Rockets,H
Wed Nov 30 2016,7:30 PM,Detroit Pistons,121,Boston Celtics,114,Box Score,,17338,,,7,,Detroit Pistons,Boston Celtics,V
Wed Nov 30 2016,8:00 PM,Los Angeles Lakers,96,Chicago Bulls,90,Box Score,,21773,,,6,,Los Angeles Lakers,Chicago Bulls,V
Wed Nov 30 2016,8:30 PM,San Antonio Spurs,94,Dallas Mavericks,87,Box Score,,19245,,,7,,San Antonio Spurs,Dallas Mavericks,V
Wed Nov 30 2016,9:00 PM,Miami Heat,106,Denver Nuggets,98,Box Score,,11471,,,8,,Miami Heat,Denver Nuggets,V
Wed Nov 30 2016,8:00 PM,New York Knicks,106,Minnesota Timberwolves,104,Box Score,,13987,,,2,,New York Knicks,Minnesota Timberwolves,V
Wed Nov 30 2016,8:00 PM,Washington Wizards,115,Oklahoma City Thunder,126,Box Score,OT,18203,,,-11,,Oklahoma City Thunder,Washington Wizards,H
Wed Nov 30 2016,9:00 PM,Atlanta Hawks,107,Phoenix Suns,109,Box Score,,15909,,,-2,,Phoenix Suns,Atlanta Hawks,H
Wed Nov 30 2016,10:00 PM,Indiana Pacers,109,Portland Trail Blazers,131,Box Score,,19107,,,-22,,Portland Trail Blazers,Indiana Pacers,H
Wed Nov 30 2016,7:30 PM,Memphis Grizzlies,105,Toronto Raptors,120,Box Score,,19800,,,-15,,Toronto Raptors,Memphis Grizzlies,H
Thu Dec 1 2016,7:30 PM,Milwaukee Bucks,111,Brooklyn Nets,93,Box Score,,12675,,,18,,Milwaukee Bucks,Brooklyn Nets,V
Thu Dec 1 2016,7:00 PM,Dallas Mavericks,87,Charlotte Hornets,97,Box Score,,14471,,,-10,,Charlotte Hornets,Dallas Mavericks,H
Thu Dec 1 2016,8:00 PM,Los Angeles Clippers,113,Cleveland Cavaliers,94,Box Score,,20562,,,19,,Los Angeles Clippers,Cleveland Cavaliers,V
Thu Dec 1 2016,10:30 PM,Houston Rockets,132,Golden State Warriors,127,Box Score,2OT,19596,,,5,,Houston Rockets,Golden State Warriors,V
Thu Dec 1 2016,8:00 PM,Orlando Magic,94,Memphis Grizzlies,95,Box Score,,13344,,,-1,,Memphis Grizzlies,Orlando Magic,H
Thu Dec 1 2016,9:00 PM,Miami Heat,111,Utah Jazz,110,Box Score,,19073,,,1,,Miami Heat,Utah Jazz,V
Fri Dec 2 2016,8:00 PM,Detroit Pistons,121,Atlanta Hawks,85,Box Score,,15500,,,36,,Detroit Pistons,Atlanta Hawks,V
Fri Dec 2 2016,7:30 PM,Sacramento Kings,92,Boston Celtics,97,Box Score,,18624,,,-5,,Boston Celtics,Sacramento Kings,H
Fri Dec 2 2016,8:00 PM,Cleveland Cavaliers,105,Chicago Bulls,111,Box Score,,21775,,,-6,,Chicago Bulls,Cleveland Cavaliers,H
Fri Dec 2 2016,10:30 PM,Houston Rockets,128,Denver Nuggets,110,Box Score,,15549,,,18,,Houston Rockets,Denver Nuggets,V
Fri Dec 2 2016,8:00 PM,Los Angeles Clippers,114,New Orleans Pelicans,96,Box Score,,16538,,,18,,Los Angeles Clippers,New Orleans Pelicans,V
Fri Dec 2 2016,7:30 PM,Minnesota Timberwolves,114,New York Knicks,118,Box Score,,19812,,,-4,,New York Knicks,Minnesota Timberwolves,H
Fri Dec 2 2016,7:00 PM,Orlando Magic,105,Philadelphia 76ers,88,Box Score,,13711,,,17,,Orlando Magic,Philadelphia 76ers,V
Fri Dec 2 2016,8:30 PM,Washington Wizards,105,San Antonio Spurs,107,Box Score,,18418,,,-2,,San Antonio Spurs,Washington Wizards,H
Fri Dec 2 2016,7:30 PM,Los Angeles Lakers,80,Toronto Raptors,113,Box Score,,19800,,,-33,,Toronto Raptors,Los Angeles Lakers,H
Sat Dec 3 2016,7:00 PM,Minnesota Timberwolves,125,Charlotte Hornets,120,Box Score,OT,16982,,,5,,Minnesota Timberwolves,Charlotte Hornets,V
Sat Dec 3 2016,8:30 PM,Chicago Bulls,82,Dallas Mavericks,107,Box Score,,19857,,,-25,,Dallas Mavericks,Chicago Bulls,H
Sat Dec 3 2016,10:30 PM,Phoenix Suns,109,Golden State Warriors,138,Box Score,,19596,,,-29,,Golden State Warriors,Phoenix Suns,H
Sat Dec 3 2016,8:00 PM,Los Angeles Lakers,100,Memphis Grizzlies,103,Box Score,,17017,,,-3,,Memphis Grizzlies,Los Angeles Lakers,H
Sat Dec 3 2016,5:00 PM,Brooklyn Nets,103,Milwaukee Bucks,112,Box Score,,15565,,,-9,,Milwaukee Bucks,Brooklyn Nets,H
Sat Dec 3 2016,7:30 PM,Boston Celtics,107,Philadelphia 76ers,106,Box Score,,17063,,,1,,Boston Celtics,Philadelphia 76ers,V
Sat Dec 3 2016,10:00 PM,Miami Heat,92,Portland Trail Blazers,99,Box Score,,19393,,,-7,,Portland Trail Blazers,Miami Heat,H
Sat Dec 3 2016,7:30 PM,Atlanta Hawks,84,Toronto Raptors,128,Box Score,,19800,,,-44,,Toronto Raptors,Atlanta Hawks,H
Sat Dec 3 2016,9:00 PM,Denver Nuggets,98,Utah Jazz,105,Box Score,,19911,,,-7,,Utah Jazz,Denver Nuggets,H
Sun Dec 4 2016,6:00 PM,Orlando Magic,98,Detroit Pistons,92,Box Score,,15206,,,6,,Orlando Magic,Detroit Pistons,V
Sun Dec 4 2016,9:30 PM,Indiana Pacers,111,Los Angeles Clippers,102,Box Score,,19060,,,9,,Indiana Pacers,Los Angeles Clippers,V
Sun Dec 4 2016,7:30 PM,Sacramento Kings,98,New York Knicks,106,Box Score,,19812,,,-8,,New York Knicks,Sacramento Kings,H
Sun Dec 4 2016,7:00 PM,New Orleans Pelicans,92,Oklahoma City Thunder,101,Box Score,,18203,,,-9,,Oklahoma City Thunder,New Orleans Pelicans,H
Mon Dec 5 2016,7:30 PM,Oklahoma City Thunder,102,Atlanta Hawks,99,Box Score,,14654,,,3,,Oklahoma City Thunder,Atlanta Hawks,V
Mon Dec 5 2016,7:30 PM,Washington Wizards,118,Brooklyn Nets,113,Box Score,,12529,,,5,,Washington Wizards,Brooklyn Nets,V
Mon Dec 5 2016,8:00 PM,Portland Trail Blazers,112,Chicago Bulls,110,Box Score,,21351,,,2,,Portland Trail Blazers,Chicago Bulls,V
Mon Dec 5 2016,8:30 PM,Charlotte Hornets,109,Dallas Mavericks,101,Box Score,,19228,,,8,,Charlotte Hornets,Dallas Mavericks,V
Mon Dec 5 2016,10:30 PM,Indiana Pacers,106,Golden State Warriors,142,Box Score,,19596,,,-36,,Golden State Warriors,Indiana Pacers,H
Mon Dec 5 2016,8:00 PM,Boston Celtics,106,Houston Rockets,107,Box Score,,15730,,,-1,,Houston Rockets,Boston Celtics,H
Mon Dec 5 2016,10:30 PM,Utah Jazz,107,Los Angeles Lakers,101,Box Score,,18279,,,6,,Utah Jazz,Los Angeles Lakers,V
Mon Dec 5 2016,8:00 PM,San Antonio Spurs,97,Milwaukee Bucks,96,Box Score,,14256,,,1,,San Antonio Spurs,Milwaukee Bucks,V
Mon Dec 5 2016,8:00 PM,Memphis Grizzlies,110,New Orleans Pelicans,108,Box Score,2OT,13795,,,2,,Memphis Grizzlies,New Orleans Pelicans,V
Mon Dec 5 2016,7:00 PM,Denver Nuggets,106,Philadelphia 76ers,98,Box Score,,11815,,,8,,Denver Nuggets,Philadelphia 76ers,V
Mon Dec 5 2016,7:30 PM,Cleveland Cavaliers,116,Toronto Raptors,112,Box Score,,19800,,,4,,Cleveland Cavaliers,Toronto Raptors,V
Tue Dec 6 2016,7:30 PM,Chicago Bulls,91,Detroit Pistons,102,Box Score,,14305,,,-11,,Detroit Pistons,Chicago Bulls,H
Tue Dec 6 2016,8:00 PM,Philadelphia 76ers,91,Memphis Grizzlies,96,Box Score,,13521,,,-5,,Memphis Grizzlies,Philadelphia 76ers,H
Tue Dec 6 2016,7:30 PM,New York Knicks,114,Miami Heat,103,Box Score,,19610,,,11,,New York Knicks,Miami Heat,V
Tue Dec 6 2016,8:00 PM,San Antonio Spurs,105,Minnesota Timberwolves,91,Box Score,,12585,,,14,,San Antonio Spurs,Minnesota Timberwolves,V
Tue Dec 6 2016,9:00 PM,Phoenix Suns,105,Utah Jazz,112,Box Score,,18997,,,-7,,Utah Jazz,Phoenix Suns,H
Tue Dec 6 2016,7:00 PM,Orlando Magic,124,Washington Wizards,116,Box Score,,12116,,,8,,Orlando Magic,Washington Wizards,V
Wed Dec 7 2016,7:30 PM,Miami Heat,95,Atlanta Hawks,103,Box Score,,11326,,,-8,,Atlanta Hawks,Miami Heat,H
Wed Dec 7 2016,7:30 PM,Denver Nuggets,111,Brooklyn Nets,116,Box Score,,14159,,,-5,,Brooklyn Nets,Denver Nuggets,H
Wed Dec 7 2016,7:00 PM,Detroit Pistons,77,Charlotte Hornets,87,Box Score,,15141,,,-10,,Charlotte Hornets,Detroit Pistons,H
Wed Dec 7 2016,8:30 PM,Sacramento Kings,120,Dallas Mavericks,89,Box Score,,19711,,,31,,Sacramento Kings,Dallas Mavericks,V
Wed Dec 7 2016,8:00 PM,Los Angeles Lakers,95,Houston Rockets,134,Box Score,,16141,,,-39,,Houston Rockets,Los Angeles Lakers,H
Wed Dec 7 2016,10:30 PM,Golden State Warriors,115,Los Angeles Clippers,98,Box Score,,19239,,,17,,Golden State Warriors,Los Angeles Clippers,V
Wed Dec 7 2016,8:00 PM,Portland Trail Blazers,107,Milwaukee Bucks,115,Box Score,,14033,,,-8,,Milwaukee Bucks,Portland Trail Blazers,H
Wed Dec 7 2016,8:00 PM,Cleveland Cavaliers,126,New York Knicks,94,Box Score,,19812,,,32,,Cleveland Cavaliers,New York Knicks,V
Wed Dec 7 2016,7:00 PM,Boston Celtics,117,Orlando Magic,87,Box Score,,17009,,,30,,Boston Celtics,Orlando Magic,V
Wed Dec 7 2016,9:00 PM,Indiana Pacers,109,Phoenix Suns,94,Box Score,,17452,,,15,,Indiana Pacers,Phoenix Suns,V
Thu Dec 8 2016,9:30 PM,San Antonio Spurs,91,Chicago Bulls,95,Box Score,,21489,,,-4,,Chicago Bulls,San Antonio Spurs,H
Thu Dec 8 2016,8:00 PM,Portland Trail Blazers,86,Memphis Grizzlies,88,Box Score,,14317,,,-2,,Memphis Grizzlies,Portland Trail Blazers,H
Thu Dec 8 2016,8:00 PM,Philadelphia 76ers,99,New Orleans Pelicans,88,Box Score,,14158,,,11,,Philadelphia 76ers,New Orleans Pelicans,V
Thu Dec 8 2016,7:00 PM,Minnesota Timberwolves,110,Toronto Raptors,124,Box Score,,19800,,,-14,,Toronto Raptors,Minnesota Timberwolves,H
Thu Dec 8 2016,9:00 PM,Golden State Warriors,106,Utah Jazz,99,Box Score,,19911,,,7,,Golden State Warriors,Utah Jazz,V
Thu Dec 8 2016,7:00 PM,Denver Nuggets,85,Washington Wizards,92,Box Score,,12645,,,-7,,Washington Wizards,Denver Nuggets,H
Fri Dec 9 2016,7:30 PM,Toronto Raptors,101,Boston Celtics,94,Box Score,,18624,,,7,,Toronto Raptors,Boston Celtics,V
Fri Dec 9 2016,7:00 PM,Orlando Magic,88,Charlotte Hornets,109,Box Score,,15707,,,-21,,Charlotte Hornets,Orlando Magic,H
Fri Dec 9 2016,7:30 PM,Miami Heat,84,Cleveland Cavaliers,114,Box Score,,20562,,,-30,,Cleveland Cavaliers,Miami Heat,H
Fri Dec 9 2016,8:30 PM,Indiana Pacers,103,Dallas Mavericks,111,Box Score,,19486,,,-8,,Dallas Mavericks,Indiana Pacers,H
Fri Dec 9 2016,10:30 PM,Phoenix Suns,119,Los Angeles Lakers,115,Box Score,,18997,,,4,,Phoenix Suns,Los Angeles Lakers,V
Fri Dec 9 2016,8:00 PM,Atlanta Hawks,114,Milwaukee Bucks,110,Box Score,,16289,,,4,,Atlanta Hawks,Milwaukee Bucks,V
Fri Dec 9 2016,8:00 PM,Detroit Pistons,117,Minnesota Timberwolves,90,Box Score,,14109,,,27,,Detroit Pistons,Minnesota Timberwolves,V
Fri Dec 9 2016,8:00 PM,Houston Rockets,102,Oklahoma City Thunder,99,Box Score,,18203,,,3,,Houston Rockets,Oklahoma City Thunder,V
Fri Dec 9 2016,10:30 PM,New York Knicks,103,Sacramento Kings,100,Box Score,,17608,,,3,,New York Knicks,Sacramento Kings,V
Sat Dec 10 2016,8:00 PM,Miami Heat,100,Chicago Bulls,105,Box Score,,21450,,,-5,,Chicago Bulls,Miami Heat,H
Sat Dec 10 2016,7:30 PM,Charlotte Hornets,105,Cleveland Cavaliers,116,Box Score,,20562,,,-11,,Cleveland Cavaliers,Charlotte Hornets,H
Sat Dec 10 2016,8:00 PM,Dallas Mavericks,87,Houston Rockets,109,Box Score,,15761,,,-22,,Houston Rockets,Dallas Mavericks,H
Sat Dec 10 2016,7:00 PM,Portland Trail Blazers,111,Indiana Pacers,118,Box Score,,16211,,,-7,,Indiana Pacers,Portland Trail Blazers,H
Sat Dec 10 2016,10:30 PM,New Orleans Pelicans,105,Los Angeles Clippers,133,Box Score,,19060,,,-28,,Los Angeles Clippers,New Orleans Pelicans,H
Sat Dec 10 2016,8:00 PM,Golden State Warriors,89,Memphis Grizzlies,110,Box Score,,18119,,,-21,,Memphis Grizzlies,Golden State Warriors,H
Sat Dec 10 2016,7:00 PM,Denver Nuggets,121,Orlando Magic,113,Box Score,,17010,,,8,,Denver Nuggets,Orlando Magic,V
Sat Dec 10 2016,8:30 PM,Brooklyn Nets,101,San Antonio Spurs,130,Box Score,,18418,,,-29,,San Antonio Spurs,Brooklyn Nets,H
Sat Dec 10 2016,9:00 PM,Sacramento Kings,84,Utah Jazz,104,Box Score,,19331,,,-20,,Utah Jazz,Sacramento Kings,H
