Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes,,Vteam,Hteam
Sun Nov 12 2017,4:00 PM,Miami Heat,103,Detroit Pistons,112,Box Score,,16236,,,Miami Heat,Detroit Pistons
Sun Nov 12 2017,6:00 PM,Houston Rockets,118,Indiana Pacers,95,Box Score,,15581,,,Houston Rockets,Indiana Pacers
Sun Nov 12 2017,7:00 PM,Dallas Mavericks,99,Oklahoma City Thunder,112,Box Score,,18203,,,Dallas Mavericks,Oklahoma City Thunder
Mon Nov 13 2017,10:30 PM,Orlando Magic,100,Golden State Warriors,110,Box Score,,19596,,,Orlando Magic,Golden State Warriors
Mon Nov 13 2017,10:30 PM,Philadelphia 76ers,109,Los Angeles Clippers,105,Box Score,,19068,,,Philadelphia 76ers,Los Angeles Clippers
Mon Nov 13 2017,8:00 PM,Memphis Grizzlies,103,Milwaukee Bucks,110,Box Score,,13244,,,Memphis Grizzlies,Milwaukee Bucks
Mon Nov 13 2017,8:00 PM,Atlanta Hawks,105,New Orleans Pelicans,106,Box Score,,14631,,,Atlanta Hawks,New Orleans Pelicans
Mon Nov 13 2017,7:30 PM,Cleveland Cavaliers,104,New York Knicks,101,Box Score,,19812,,,Cleveland Cavaliers,New York Knicks
Mon Nov 13 2017,9:00 PM,Los Angeles Lakers,100,Phoenix Suns,93,Box Score,,17533,,,Los Angeles Lakers,Phoenix Suns
Mon Nov 13 2017,10:00 PM,Denver Nuggets,82,Portland Trail Blazers,99,Box Score,,18895,,,Denver Nuggets,Portland Trail Blazers
Mon Nov 13 2017,9:00 PM,Minnesota Timberwolves,109,Utah Jazz,98,Box Score,,17236,,,Minnesota Timberwolves,Utah Jazz
Mon Nov 13 2017,7:00 PM,Sacramento Kings,92,Washington Wizards,110,Box Score,,14660,,,Sacramento Kings,Washington Wizards
Tue Nov 14 2017,7:30 PM,Boston Celtics,109,Brooklyn Nets,102,Box Score,,17732,,,Boston Celtics,Brooklyn Nets
Tue Nov 14 2017,8:30 PM,San Antonio Spurs,97,Dallas Mavericks,91,Box Score,,19535,,,San Antonio Spurs,Dallas Mavericks
Tue Nov 14 2017,8:00 PM,Toronto Raptors,129,Houston Rockets,113,Box Score,,18055,,,Toronto Raptors,Houston Rockets
Wed Nov 15 2017,7:30 PM,Sacramento Kings,80,Atlanta Hawks,126,Box Score,,13860,,,Sacramento Kings,Atlanta Hawks
Wed Nov 15 2017,8:00 PM,Cleveland Cavaliers,115,Charlotte Hornets,107,Box Score,,19427,,,Cleveland Cavaliers,Charlotte Hornets
Wed Nov 15 2017,10:30 PM,Philadelphia 76ers,115,Los Angeles Lakers,109,Box Score,,18997,,,Philadelphia 76ers,Los Angeles Lakers
Wed Nov 15 2017,8:00 PM,Indiana Pacers,116,Memphis Grizzlies,113,Box Score,,16033,,,Indiana Pacers,Memphis Grizzlies
Wed Nov 15 2017,7:30 PM,Washington Wizards,102,Miami Heat,93,Box Score,,19600,,,Washington Wizards,Miami Heat
Wed Nov 15 2017,8:00 PM,Detroit Pistons,95,Milwaukee Bucks,99,Box Score,,14594,,,Detroit Pistons,Milwaukee Bucks
Wed Nov 15 2017,8:00 PM,San Antonio Spurs,86,Minnesota Timberwolves,98,Box Score,,18978,,,San Antonio Spurs,Minnesota Timberwolves
Wed Nov 15 2017,8:00 PM,Toronto Raptors,125,New Orleans Pelicans,116,Box Score,,15654,,,Toronto Raptors,New Orleans Pelicans
Wed Nov 15 2017,7:30 PM,Utah Jazz,101,New York Knicks,106,Box Score,,18695,,,Utah Jazz,New York Knicks
Wed Nov 15 2017,8:00 PM,Chicago Bulls,79,Oklahoma City Thunder,92,Box Score,,18203,,,Chicago Bulls,Oklahoma City Thunder
Wed Nov 15 2017,10:00 PM,Orlando Magic,94,Portland Trail Blazers,99,Box Score,,19206,,,Orlando Magic,Portland Trail Blazers
Thu Nov 16 2017,8:00 PM,Golden State Warriors,88,Boston Celtics,92,Box Score,,18624,,,Golden State Warriors,Boston Celtics
Thu Nov 16 2017,10:30 PM,Houston Rockets,142,Phoenix Suns,116,Box Score,,16875,,,Houston Rockets,Phoenix Suns
Fri Nov 17 2017,7:30 PM,Utah Jazz,107,Brooklyn Nets,118,Box Score,,14495,,,Utah Jazz,Brooklyn Nets
Fri Nov 17 2017,8:00 PM,Charlotte Hornets,120,Chicago Bulls,123,Box Score,,20493,,,Charlotte Hornets,Chicago Bulls
Fri Nov 17 2017,7:30 PM,Los Angeles Clippers,113,Cleveland Cavaliers,118,Box Score,OT,20562,,,Los Angeles Clippers,Cleveland Cavaliers
Fri Nov 17 2017,8:30 PM,Minnesota Timberwolves,111,Dallas Mavericks,87,Box Score,,19459,,,Minnesota Timberwolves,Dallas Mavericks
Fri Nov 17 2017,10:30 PM,New Orleans Pelicans,114,Denver Nuggets,146,Box Score,,16816,,,New Orleans Pelicans,Denver Nuggets
Fri Nov 17 2017,7:00 PM,Detroit Pistons,100,Indiana Pacers,107,Box Score,,17188,,,Detroit Pistons,Indiana Pacers
Fri Nov 17 2017,10:30 PM,Phoenix Suns,122,Los Angeles Lakers,113,Box Score,,18997,,,Phoenix Suns,Los Angeles Lakers
Fri Nov 17 2017,10:00 PM,Portland Trail Blazers,82,Sacramento Kings,86,Box Score,,17583,,,Portland Trail Blazers,Sacramento Kings
Fri Nov 17 2017,8:00 PM,Oklahoma City Thunder,101,San Antonio Spurs,104,Box Score,,18418,,,Oklahoma City Thunder,San Antonio Spurs
Fri Nov 17 2017,7:30 PM,New York Knicks,84,Toronto Raptors,107,Box Score,,19800,,,New York Knicks,Toronto Raptors
Fri Nov 17 2017,7:00 PM,Miami Heat,91,Washington Wizards,88,Box Score,,17551,,,Miami Heat,Washington Wizards
Sat Nov 18 2017,7:30 PM,Boston Celtics,110,Atlanta Hawks,99,Box Score,,16381,,,Boston Celtics,Atlanta Hawks
Sat Nov 18 2017,7:00 PM,Los Angeles Clippers,87,Charlotte Hornets,102,Box Score,,17640,,,Los Angeles Clippers,Charlotte Hornets
Sat Nov 18 2017,9:00 PM,Milwaukee Bucks,79,Dallas Mavericks,111,Box Score,,19949,,,Milwaukee Bucks,Dallas Mavericks
Sat Nov 18 2017,8:00 PM,Houston Rockets,105,Memphis Grizzlies,83,Box Score,,17266,,,Houston Rockets,Memphis Grizzlies
Sat Nov 18 2017,7:00 PM,Utah Jazz,125,Orlando Magic,85,Box Score,,19157,,,Utah Jazz,Orlando Magic
Sat Nov 18 2017,7:30 PM,Golden State Warriors,124,Philadelphia 76ers,116,Box Score,,20848,,,Golden State Warriors,Philadelphia 76ers
Sat Nov 18 2017,10:00 PM,Sacramento Kings,90,Portland Trail Blazers,102,Box Score,,19522,,,Sacramento Kings,Portland Trail Blazers
Sun Nov 19 2017,6:00 PM,Golden State Warriors,118,Brooklyn Nets,111,Box Score,,17732,,,Golden State Warriors,Brooklyn Nets
Sun Nov 19 2017,9:30 PM,Denver Nuggets,109,Los Angeles Lakers,127,Box Score,,18997,,,Denver Nuggets,Los Angeles Lakers
Sun Nov 19 2017,5:00 PM,Indiana Pacers,120,Miami Heat,95,Box Score,,19600,,,Indiana Pacers,Miami Heat
Sun Nov 19 2017,7:00 PM,Detroit Pistons,100,Minnesota Timberwolves,97,Box Score,,16069,,,Detroit Pistons,Minnesota Timberwolves
Sun Nov 19 2017,8:00 PM,Chicago Bulls,105,Phoenix Suns,113,Box Score,,16264,,,Chicago Bulls,Phoenix Suns
Sun Nov 19 2017,3:30 PM,Washington Wizards,91,Toronto Raptors,100,Box Score,,19800,,,Washington Wizards,Toronto Raptors
Mon Nov 20 2017,7:00 PM,Minnesota Timberwolves,102,Charlotte Hornets,118,Box Score,,15978,,,Minnesota Timberwolves,Charlotte Hornets
Mon Nov 20 2017,8:30 PM,Boston Celtics,110,Dallas Mavericks,102,Box Score,OT,20302,,,Boston Celtics,Dallas Mavericks
Mon Nov 20 2017,7:00 PM,Cleveland Cavaliers,116,Detroit Pistons,88,Box Score,,20491,,,Cleveland Cavaliers,Detroit Pistons
Mon Nov 20 2017,8:00 PM,Portland Trail Blazers,100,Memphis Grizzlies,92,Box Score,,15785,,,Portland Trail Blazers,Memphis Grizzlies
Mon Nov 20 2017,8:00 PM,Washington Wizards,99,Milwaukee Bucks,88,Box Score,,16122,,,Washington Wizards,Milwaukee Bucks
Mon Nov 20 2017,8:00 PM,Oklahoma City Thunder,107,New Orleans Pelicans,114,Box Score,,16765,,,Oklahoma City Thunder,New Orleans Pelicans
Mon Nov 20 2017,7:30 PM,Los Angeles Clippers,85,New York Knicks,107,Box Score,,18848,,,Los Angeles Clippers,New York Knicks
Mon Nov 20 2017,7:00 PM,Indiana Pacers,105,Orlando Magic,97,Box Score,,17239,,,Indiana Pacers,Orlando Magic
Mon Nov 20 2017,7:00 PM,Utah Jazz,86,Philadelphia 76ers,107,Box Score,,20587,,,Utah Jazz,Philadelphia 76ers
Mon Nov 20 2017,10:00 PM,Denver Nuggets,114,Sacramento Kings,98,Box Score,,17583,,,Denver Nuggets,Sacramento Kings
Mon Nov 20 2017,8:30 PM,Atlanta Hawks,85,San Antonio Spurs,96,Box Score,,18418,,,Atlanta Hawks,San Antonio Spurs
Tue Nov 21 2017,10:30 PM,Chicago Bulls,94,Los Angeles Lakers,103,Box Score,,18997,,,Chicago Bulls,Los Angeles Lakers
Wed Nov 22 2017,7:30 PM,Los Angeles Clippers,116,Atlanta Hawks,103,Box Score,,12675,,,Los Angeles Clippers,Atlanta Hawks
Wed Nov 22 2017,7:00 PM,Washington Wizards,124,Charlotte Hornets,129,Box Score,OT,16041,,,Washington Wizards,Charlotte Hornets
Wed Nov 22 2017,7:00 PM,Brooklyn Nets,109,Cleveland Cavaliers,119,Box Score,,20562,,,Brooklyn Nets,Cleveland Cavaliers
Wed Nov 22 2017,8:00 PM,Denver Nuggets,95,Houston Rockets,125,Box Score,,18055,,,Denver Nuggets,Houston Rockets
Wed Nov 22 2017,8:00 PM,Dallas Mavericks,95,Memphis Grizzlies,94,Box Score,,16101,,,Dallas Mavericks,Memphis Grizzlies
Wed Nov 22 2017,7:30 PM,Boston Celtics,98,Miami Heat,104,Box Score,,19704,,,Boston Celtics,Miami Heat
Wed Nov 22 2017,8:00 PM,Orlando Magic,118,Minnesota Timberwolves,124,Box Score,,16402,,,Orlando Magic,Minnesota Timberwolves
Wed Nov 22 2017,8:00 PM,San Antonio Spurs,90,New Orleans Pelicans,107,Box Score,,17539,,,San Antonio Spurs,New Orleans Pelicans
Wed Nov 22 2017,7:30 PM,Toronto Raptors,100,New York Knicks,108,Box Score,,19812,,,Toronto Raptors,New York Knicks
Wed Nov 22 2017,8:00 PM,Golden State Warriors,91,Oklahoma City Thunder,108,Box Score,,18203,,,Golden State Warriors,Oklahoma City Thunder
Wed Nov 22 2017,7:00 PM,Portland Trail Blazers,81,Philadelphia 76ers,101,Box Score,,20605,,,Portland Trail Blazers,Philadelphia 76ers
Wed Nov 22 2017,9:00 PM,Milwaukee Bucks,113,Phoenix Suns,107,Box Score,OT,16270,,,Milwaukee Bucks,Phoenix Suns
Wed Nov 22 2017,10:30 PM,Los Angeles Lakers,102,Sacramento Kings,113,Box Score,,17583,,,Los Angeles Lakers,Sacramento Kings
Wed Nov 22 2017,9:00 PM,Chicago Bulls,80,Utah Jazz,110,Box Score,,17434,,,Chicago Bulls,Utah Jazz
Fri Nov 24 2017,7:30 PM,New York Knicks,104,Atlanta Hawks,116,Box Score,,14355,,,New York Knicks,Atlanta Hawks
Fri Nov 24 2017,7:30 PM,Orlando Magic,103,Boston Celtics,118,Box Score,,18624,,,Orlando Magic,Boston Celtics
Fri Nov 24 2017,12:00 PM,Portland Trail Blazers,127,Brooklyn Nets,125,Box Score,,15246,,,Portland Trail Blazers,Brooklyn Nets
Fri Nov 24 2017,8:00 PM,Charlotte Hornets,99,Cleveland Cavaliers,100,Box Score,,20562,,,Charlotte Hornets,Cleveland Cavaliers
Fri Nov 24 2017,9:00 PM,Memphis Grizzlies,92,Denver Nuggets,104,Box Score,,16736,,,Memphis Grizzlies,Denver Nuggets
Fri Nov 24 2017,10:30 PM,Chicago Bulls,94,Golden State Warriors,143,Box Score,,19596,,,Chicago Bulls,Golden State Warriors
Fri Nov 24 2017,8:00 PM,Toronto Raptors,104,Indiana Pacers,107,Box Score,,16523,,,Toronto Raptors,Indiana Pacers
Fri Nov 24 2017,8:00 PM,Miami Heat,109,Minnesota Timberwolves,97,Box Score,,18978,,,Miami Heat,Minnesota Timberwolves
Fri Nov 24 2017,8:00 PM,Detroit Pistons,99,Oklahoma City Thunder,98,Box Score,,18203,,,Detroit Pistons,Oklahoma City Thunder
Fri Nov 24 2017,9:00 PM,New Orleans Pelicans,115,Phoenix Suns,91,Box Score,,16574,,,New Orleans Pelicans,Phoenix Suns
Sat Nov 25 2017,7:30 PM,Toronto Raptors,112,Atlanta Hawks,78,Box Score,,12278,,,Toronto Raptors,Atlanta Hawks
Sat Nov 25 2017,7:00 PM,San Antonio Spurs,106,Charlotte Hornets,86,Box Score,,18597,,,San Antonio Spurs,Charlotte Hornets
Sat Nov 25 2017,8:30 PM,Oklahoma City Thunder,81,Dallas Mavericks,97,Box Score,,20340,,,Oklahoma City Thunder,Dallas Mavericks
Sat Nov 25 2017,8:30 PM,New Orleans Pelicans,95,Golden State Warriors,110,Box Score,,19596,,,New Orleans Pelicans,Golden State Warriors
Sat Nov 25 2017,8:00 PM,New York Knicks,102,Houston Rockets,117,Box Score,,18055,,,New York Knicks,Houston Rockets
Sat Nov 25 2017,8:00 PM,Boston Celtics,108,Indiana Pacers,98,Box Score,,16303,,,Boston Celtics,Indiana Pacers
Sat Nov 25 2017,7:00 PM,Orlando Magic,111,Philadelphia 76ers,130,Box Score,,20585,,,Orlando Magic,Philadelphia 76ers
Sat Nov 25 2017,10:00 PM,Los Angeles Clippers,97,Sacramento Kings,95,Box Score,,17583,,,Los Angeles Clippers,Sacramento Kings
Sat Nov 25 2017,9:00 PM,Milwaukee Bucks,108,Utah Jazz,121,Box Score,,17298,,,Milwaukee Bucks,Utah Jazz
Sat Nov 25 2017,7:00 PM,Portland Trail Blazers,108,Washington Wizards,105,Box Score,,18092,,,Portland Trail Blazers,Washington Wizards
Sun Nov 26 2017,3:30 PM,Miami Heat,100,Chicago Bulls,93,Box Score,,20928,,,Miami Heat,Chicago Bulls
Sun Nov 26 2017,6:00 PM,Brooklyn Nets,98,Memphis Grizzlies,88,Box Score,,14889,,,Brooklyn Nets,Memphis Grizzlies
Sun Nov 26 2017,3:30 PM,Phoenix Suns,108,Minnesota Timberwolves,119,Box Score,,16448,,,Phoenix Suns,Minnesota Timberwolves
Mon Nov 27 2017,7:30 PM,Detroit Pistons,118,Boston Celtics,108,Box Score,,18624,,,Detroit Pistons,Boston Celtics
Mon Nov 27 2017,10:30 PM,Sacramento Kings,110,Golden State Warriors,106,Box Score,,19596,,,Sacramento Kings,Golden State Warriors
Mon Nov 27 2017,8:00 PM,Brooklyn Nets,103,Houston Rockets,117,Box Score,,16189,,,Brooklyn Nets,Houston Rockets
Mon Nov 27 2017,7:00 PM,Orlando Magic,109,Indiana Pacers,121,Box Score,,12501,,,Orlando Magic,Indiana Pacers
Mon Nov 27 2017,10:30 PM,Los Angeles Lakers,115,Los Angeles Clippers,120,Box Score,,18086,,,Los Angeles Lakers,Los Angeles Clippers
Mon Nov 27 2017,7:30 PM,Portland Trail Blazers,103,New York Knicks,91,Box Score,,18409,,,Portland Trail Blazers,New York Knicks
Mon Nov 27 2017,7:00 PM,Cleveland Cavaliers,113,Philadelphia 76ers,91,Box Score,,20527,,,Cleveland Cavaliers,Philadelphia 76ers
Mon Nov 27 2017,8:30 PM,Dallas Mavericks,108,San Antonio Spurs,115,Box Score,,17918,,,Dallas Mavericks,San Antonio Spurs
Tue Nov 28 2017,8:00 PM,Phoenix Suns,104,Chicago Bulls,99,Box Score,,18324,,,Phoenix Suns,Chicago Bulls
Tue Nov 28 2017,7:00 PM,Miami Heat,97,Cleveland Cavaliers,108,Box Score,,20562,,,Miami Heat,Cleveland Cavaliers
Tue Nov 28 2017,8:00 PM,Washington Wizards,92,Minnesota Timberwolves,89,Box Score,,13442,,,Washington Wizards,Minnesota Timberwolves
Tue Nov 28 2017,10:00 PM,Milwaukee Bucks,112,Sacramento Kings,87,Box Score,,17583,,,Milwaukee Bucks,Sacramento Kings
Tue Nov 28 2017,10:00 PM,Denver Nuggets,77,Utah Jazz,106,Box Score,,16790,,,Denver Nuggets,Utah Jazz
Wed Nov 29 2017,8:30 PM,Brooklyn Nets,109,Dallas Mavericks,104,Box Score,,19327,,,Brooklyn Nets,Dallas Mavericks
Wed Nov 29 2017,7:00 PM,Phoenix Suns,107,Detroit Pistons,131,Box Score,,18096,,,Phoenix Suns,Detroit Pistons
Wed Nov 29 2017,8:00 PM,Indiana Pacers,97,Houston Rockets,118,Box Score,,16760,,,Indiana Pacers,Houston Rockets
Wed Nov 29 2017,10:30 PM,Golden State Warriors,127,Los Angeles Lakers,123,Box Score,OT,18997,,,Golden State Warriors,Los Angeles Lakers
Wed Nov 29 2017,8:00 PM,Minnesota Timberwolves,120,New Orleans Pelicans,102,Box Score,,15555,,,Minnesota Timberwolves,New Orleans Pelicans
Wed Nov 29 2017,7:30 PM,Miami Heat,86,New York Knicks,115,Box Score,,17693,,,Miami Heat,New York Knicks
Wed Nov 29 2017,7:00 PM,Oklahoma City Thunder,108,Orlando Magic,121,Box Score,,17797,,,Oklahoma City Thunder,Orlando Magic
Wed Nov 29 2017,7:00 PM,Washington Wizards,113,Philadelphia 76ers,118,Box Score,,20492,,,Washington Wizards,Philadelphia 76ers
Wed Nov 29 2017,8:30 PM,Memphis Grizzlies,95,San Antonio Spurs,104,Box Score,,18013,,,Memphis Grizzlies,San Antonio Spurs
Wed Nov 29 2017,7:30 PM,Charlotte Hornets,113,Toronto Raptors,126,Box Score,,19800,,,Charlotte Hornets,Toronto Raptors
Thu Nov 30 2017,7:30 PM,Cleveland Cavaliers,121,Atlanta Hawks,114,Box Score,,16379,,,Cleveland Cavaliers,Atlanta Hawks
Thu Nov 30 2017,7:30 PM,Philadelphia 76ers,97,Boston Celtics,108,Box Score,,18624,,,Philadelphia 76ers,Boston Celtics
Thu Nov 30 2017,9:00 PM,Chicago Bulls,110,Denver Nuggets,111,Box Score,,15156,,,Chicago Bulls,Denver Nuggets
Thu Nov 30 2017,10:30 PM,Utah Jazz,126,Los Angeles Clippers,107,Box Score,,15139,,,Utah Jazz,Los Angeles Clippers
Thu Nov 30 2017,10:00 PM,Milwaukee Bucks,103,Portland Trail Blazers,91,Box Score,,19459,,,Milwaukee Bucks,Portland Trail Blazers
Fri Dec 1 2017,8:00 PM,Sacramento Kings,107,Chicago Bulls,106,Box Score,,19268,,,Sacramento Kings,Chicago Bulls
Fri Dec 1 2017,8:00 PM,San Antonio Spurs,95,Memphis Grizzlies,79,Box Score,,16413,,,San Antonio Spurs,Memphis Grizzlies
Fri Dec 1 2017,8:00 PM,Charlotte Hornets,100,Miami Heat,105,Box Score,,19600,,,Charlotte Hornets,Miami Heat
Fri Dec 1 2017,8:00 PM,Minnesota Timberwolves,107,Oklahoma City Thunder,111,Box Score,,18203,,,Minnesota Timberwolves,Oklahoma City Thunder
Fri Dec 1 2017,7:00 PM,Golden State Warriors,133,Orlando Magic,112,Box Score,,18846,,,Golden State Warriors,Orlando Magic
Fri Dec 1 2017,7:30 PM,Indiana Pacers,115,Toronto Raptors,120,Box Score,,19800,,,Indiana Pacers,Toronto Raptors
Fri Dec 1 2017,9:00 PM,New Orleans Pelicans,108,Utah Jazz,114,Box Score,,17725,,,New Orleans Pelicans,Utah Jazz
Fri Dec 1 2017,7:00 PM,Detroit Pistons,91,Washington Wizards,109,Box Score,,17885,,,Detroit Pistons,Washington Wizards
Sat Dec 2 2017,1:00 PM,Phoenix Suns,111,Boston Celtics,116,Box Score,,18624,,,Phoenix Suns,Boston Celtics
Sat Dec 2 2017,3:00 PM,Atlanta Hawks,114,Brooklyn Nets,102,Box Score,,13949,,,Atlanta Hawks,Brooklyn Nets
Sat Dec 2 2017,7:30 PM,Memphis Grizzlies,111,Cleveland Cavaliers,116,Box Score,,20562,,,Memphis Grizzlies,Cleveland Cavaliers
Sat Dec 2 2017,2:00 PM,Los Angeles Clippers,82,Dallas Mavericks,108,Box Score,,19245,,,Los Angeles Clippers,Dallas Mavericks
Sat Dec 2 2017,9:00 PM,Los Angeles Lakers,100,Denver Nuggets,115,Box Score,,19520,,,Los Angeles Lakers,Denver Nuggets
Sat Dec 2 2017,8:30 PM,Sacramento Kings,104,Milwaukee Bucks,109,Box Score,,15581,,,Sacramento Kings,Milwaukee Bucks
Sat Dec 2 2017,7:30 PM,Detroit Pistons,103,Philadelphia 76ers,108,Box Score,,20562,,,Detroit Pistons,Philadelphia 76ers
Sat Dec 2 2017,10:00 PM,New Orleans Pelicans,123,Portland Trail Blazers,116,Box Score,,18730,,,New Orleans Pelicans,Portland Trail Blazers
Sun Dec 3 2017,9:30 PM,Houston Rockets,118,Los Angeles Lakers,95,Box Score,,18997,,,Houston Rockets,Los Angeles Lakers
Sun Dec 3 2017,7:00 PM,Golden State Warriors,123,Miami Heat,95,Box Score,,19600,,,Golden State Warriors,Miami Heat
Sun Dec 3 2017,7:00 PM,Los Angeles Clippers,106,Minnesota Timberwolves,112,Box Score,,13172,,,Los Angeles Clippers,Minnesota Timberwolves
Sun Dec 3 2017,3:30 PM,Orlando Magic,105,New York Knicks,100,Box Score,,19082,,,Orlando Magic,New York Knicks
Sun Dec 3 2017,7:00 PM,San Antonio Spurs,87,Oklahoma City Thunder,90,Box Score,,18203,,,San Antonio Spurs,Oklahoma City Thunder
Mon Dec 4 2017,7:30 PM,Brooklyn Nets,110,Atlanta Hawks,90,Box Score,,12056,,,Brooklyn Nets,Atlanta Hawks
Mon Dec 4 2017,7:30 PM,Milwaukee Bucks,100,Boston Celtics,111,Box Score,,18624,,,Milwaukee Bucks,Boston Celtics
Mon Dec 4 2017,8:00 PM,Cleveland Cavaliers,113,Chicago Bulls,91,Box Score,,21323,,,Cleveland Cavaliers,Chicago Bulls
Mon Dec 4 2017,7:00 PM,Orlando Magic,94,Charlotte Hornets,104,Box Score,,14419,,,Orlando Magic,Charlotte Hornets
Mon Dec 4 2017,8:30 PM,Denver Nuggets,105,Dallas Mavericks,122,Box Score,,19419,,,Denver Nuggets,Dallas Mavericks
Mon Dec 4 2017,7:00 PM,New York Knicks,97,Indiana Pacers,115,Box Score,,12018,,,New York Knicks,Indiana Pacers
Mon Dec 4 2017,8:00 PM,Minnesota Timberwolves,92,Memphis Grizzlies,95,Box Score,,14012,,,Minnesota Timberwolves,Memphis Grizzlies
Mon Dec 4 2017,8:00 PM,Golden State Warriors,125,New Orleans Pelicans,115,Box Score,,17004,,,Golden State Warriors,New Orleans Pelicans
Mon Dec 4 2017,7:00 PM,Phoenix Suns,115,Philadelphia 76ers,101,Box Score,,20564,,,Phoenix Suns,Philadelphia 76ers
Mon Dec 4 2017,8:30 PM,Detroit Pistons,93,San Antonio Spurs,96,Box Score,,18288,,,Detroit Pistons,San Antonio Spurs
Mon Dec 4 2017,9:00 PM,Washington Wizards,69,Utah Jazz,116,Box Score,,17227,,,Washington Wizards,Utah Jazz
Tue Dec 5 2017,8:00 PM,Utah Jazz,94,Oklahoma City Thunder,100,Box Score,,18203,,,Utah Jazz,Oklahoma City Thunder
Tue Dec 5 2017,10:00 PM,Washington Wizards,106,Portland Trail Blazers,92,Box Score,,19241,,,Washington Wizards,Portland Trail Blazers
Tue Dec 5 2017,7:30 PM,Phoenix Suns,113,Toronto Raptors,126,Box Score,,19800,,,Phoenix Suns,Toronto Raptors
Wed Dec 6 2017,7:30 PM,Dallas Mavericks,90,Boston Celtics,97,Box Score,,18624,,,Dallas Mavericks,Boston Celtics
Wed Dec 6 2017,8:00 PM,Golden State Warriors,101,Charlotte Hornets,87,Box Score,,19334,,,Golden State Warriors,Charlotte Hornets
Wed Dec 6 2017,7:00 PM,Sacramento Kings,95,Cleveland Cavaliers,101,Box Score,,20562,,,Sacramento Kings,Cleveland Cavaliers
Wed Dec 6 2017,7:00 PM,Chicago Bulls,96,Indiana Pacers,98,Box Score,,13013,,,Chicago Bulls,Indiana Pacers
Wed Dec 6 2017,10:30 PM,Minnesota Timberwolves,113,Los Angeles Clippers,107,Box Score,,15951,,,Minnesota Timberwolves,Los Angeles Clippers
Wed Dec 6 2017,8:00 PM,Detroit Pistons,100,Milwaukee Bucks,104,Box Score,,15841,,,Detroit Pistons,Milwaukee Bucks
Wed Dec 6 2017,8:00 PM,Denver Nuggets,114,New Orleans Pelicans,123,Box Score,,15353,,,Denver Nuggets,New Orleans Pelicans
Wed Dec 6 2017,7:30 PM,Memphis Grizzlies,88,New York Knicks,99,Box Score,,19812,,,Memphis Grizzlies,New York Knicks
Wed Dec 6 2017,7:00 PM,Atlanta Hawks,106,Orlando Magic,110,Box Score,OT,16167,,,Atlanta Hawks,Orlando Magic
Wed Dec 6 2017,8:30 PM,Miami Heat,105,San Antonio Spurs,117,Box Score,,18252,,,Miami Heat,San Antonio Spurs
Thu Dec 7 2017,10:00 PM,Oklahoma City Thunder,95,Brooklyn Nets,100,Box Score,,20562,,,Oklahoma City Thunder,Brooklyn Nets
Thu Dec 7 2017,8:00 PM,Los Angeles Lakers,107,Philadelphia 76ers,104,Box Score,,20495,,,Los Angeles Lakers,Philadelphia 76ers
Thu Dec 7 2017,9:00 PM,Washington Wizards,109,Phoenix Suns,99,Box Score,,15925,,,Washington Wizards,Phoenix Suns
Thu Dec 7 2017,10:30 PM,Houston Rockets,112,Utah Jazz,101,Box Score,,18306,,,Houston Rockets,Utah Jazz
Fri Dec 8 2017,7:00 PM,Chicago Bulls,119,Charlotte Hornets,111,Box Score,OT,14077,,,Chicago Bulls,Charlotte Hornets
Fri Dec 8 2017,7:00 PM,Golden State Warriors,102,Detroit Pistons,98,Box Score,,20491,,,Golden State Warriors,Detroit Pistons
Fri Dec 8 2017,7:00 PM,Cleveland Cavaliers,102,Indiana Pacers,106,Box Score,,17032,,,Cleveland Cavaliers,Indiana Pacers
Fri Dec 8 2017,8:00 PM,Toronto Raptors,116,Memphis Grizzlies,107,Box Score,,15417,,,Toronto Raptors,Memphis Grizzlies
Fri Dec 8 2017,8:00 PM,Dallas Mavericks,102,Milwaukee Bucks,109,Box Score,,15889,,,Dallas Mavericks,Milwaukee Bucks
Fri Dec 8 2017,8:00 PM,Sacramento Kings,116,New Orleans Pelicans,109,Box Score,OT,15019,,,Sacramento Kings,New Orleans Pelicans
Fri Dec 8 2017,7:00 PM,Denver Nuggets,103,Orlando Magic,89,Box Score,,16024,,,Denver Nuggets,Orlando Magic
Fri Dec 8 2017,9:30 PM,Boston Celtics,102,San Antonio Spurs,105,Box Score,,18418,,,Boston Celtics,San Antonio Spurs
Sat Dec 9 2017,7:30 PM,Orlando Magic,110,Atlanta Hawks,117,Box Score,,12719,,,Orlando Magic,Atlanta Hawks
Sat Dec 9 2017,6:00 PM,Miami Heat,101,Brooklyn Nets,89,Box Score,,19777,,,Miami Heat,Brooklyn Nets
Sat Dec 9 2017,8:00 PM,New York Knicks,102,Chicago Bulls,104,Box Score,,20149,,,New York Knicks,Chicago Bulls
Sat Dec 9 2017,7:00 PM,Los Angeles Lakers,110,Charlotte Hornets,99,Box Score,,19320,,,Los Angeles Lakers,Charlotte Hornets
Sat Dec 9 2017,8:00 PM,Philadelphia 76ers,98,Cleveland Cavaliers,105,Box Score,,20562,,,Philadelphia 76ers,Cleveland Cavaliers
Sat Dec 9 2017,3:30 PM,Washington Wizards,112,Los Angeles Clippers,113,Box Score,,15739,,,Washington Wizards,Los Angeles Clippers
