Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes,,Vteam,Hteam
Mon Oct 23 2017,8:00 PM,Memphis Grizzlies,98,Houston Rockets,90,Box Score,,17129,,,Memphis Grizzlies,Houston Rockets
Mon Oct 23 2017,7:30 PM,Atlanta Hawks,93,Miami Heat,104,Box Score,,19600,,,Atlanta Hawks,Miami Heat
Mon Oct 23 2017,8:00 PM,Charlotte Hornets,94,Milwaukee Bucks,103,Box Score,,12887,,,Charlotte Hornets,Milwaukee Bucks
Mon Oct 23 2017,10:00 PM,Sacramento Kings,115,Phoenix Suns,117,Box Score,,14903,,,Sacramento Kings,Phoenix Suns
Mon Oct 23 2017,8:30 PM,Toronto Raptors,97,San Antonio Spurs,101,Box Score,,18418,,,Toronto Raptors,San Antonio Spurs
Tue Oct 24 2017,7:30 PM,New York Knicks,89,Boston Celtics,110,Box Score,,18624,,,New York Knicks,Boston Celtics
Tue Oct 24 2017,7:00 PM,Chicago Bulls,112,Cleveland Cavaliers,119,Box Score,,20562,,,Chicago Bulls,Cleveland Cavaliers
Tue Oct 24 2017,10:30 PM,Utah Jazz,84,Los Angeles Clippers,102,Box Score,,16607,,,Utah Jazz,Los Angeles Clippers
Tue Oct 24 2017,8:00 PM,Indiana Pacers,130,Minnesota Timberwolves,107,Box Score,,14353,,,Indiana Pacers,Minnesota Timberwolves
Tue Oct 24 2017,7:00 PM,Brooklyn Nets,121,Orlando Magic,125,Box Score,,16015,,,Brooklyn Nets,Orlando Magic
Tue Oct 24 2017,10:00 PM,New Orleans Pelicans,93,Portland Trail Blazers,103,Box Score,,19446,,,New Orleans Pelicans,Portland Trail Blazers
Wed Oct 25 2017,7:30 PM,Cleveland Cavaliers,107,Brooklyn Nets,112,Box Score,,17732,,,Cleveland Cavaliers,Brooklyn Nets
Wed Oct 25 2017,7:00 PM,Denver Nuggets,93,Charlotte Hornets,110,Box Score,,14253,,,Denver Nuggets,Charlotte Hornets
Wed Oct 25 2017,8:30 PM,Memphis Grizzlies,94,Dallas Mavericks,103,Box Score,,19674,,,Memphis Grizzlies,Dallas Mavericks
Wed Oct 25 2017,7:00 PM,Minnesota Timberwolves,101,Detroit Pistons,122,Box Score,,13790,,,Minnesota Timberwolves,Detroit Pistons
Wed Oct 25 2017,10:30 PM,Toronto Raptors,112,Golden State Warriors,117,Box Score,,19596,,,Toronto Raptors,Golden State Warriors
Wed Oct 25 2017,10:30 PM,Washington Wizards,99,Los Angeles Lakers,102,Box Score,OT,18996,,,Washington Wizards,Los Angeles Lakers
Wed Oct 25 2017,8:00 PM,San Antonio Spurs,117,Miami Heat,100,Box Score,,19600,,,San Antonio Spurs,Miami Heat
Wed Oct 25 2017,8:00 PM,Indiana Pacers,96,Oklahoma City Thunder,114,Box Score,,18203,,,Indiana Pacers,Oklahoma City Thunder
